comment,author,date,num_likes
뿌뿜뿜 악기에다 희망적인 가사로 노래하니까 듣기만 해도 힘이 나는 것 같아요,연습,2022-07-24T14:25:28Z,1
크... 뭘좀 아시네 아이마스가 될 자격이 잇구만,aaaf riii,2022-08-16T08:03:01Z,0
너뭊 ㅗㅎ조아 르르땅,knight,2022-07-24T13:35:44Z,1
100만 두개재!!!!@@@!!@@@@@@,케모,2022-07-24T11:02:30Z,4
다리 너무 얇음   통통한버전이 더조은데,풍뎅이,2022-07-24T01:22:02Z,0
르르땅 목소리 개레전드로 뽑힌곡,헤스,2022-07-23T00:39:05Z,4
영상설명글에 저렇게 고마움이 잔뜩 묻어나오는 글 쓰신 것도 그렇고 유독 이 노래 목소리가 따뜻한 것도 그렇고 참 안그런거 같으면서도 사람이 정이 많다고 해야하나? 뭔가 그런게 느껴짐,_마따시,2022-07-20T19:46:01Z,15
ルルたん可愛い…可愛すぎる,Zim Lee,2022-07-20T02:25:05Z,3
뮤비가 개씹떡이라그렇지 노래는 좋은데,Flipped,2022-07-20T00:12:18Z,2
"노래도 원곡은 씹덕류 노래임
한글로 개사해서 그렇지
원곡 들어보셈",aaaf riii,2022-08-16T08:03:18Z,1
머독:일본어로 부르세요!!!,진마린,2022-07-19T05:06:06Z,0
100만 가자!!!!!!! 너무 좋아!!!!,며뮤,2022-07-18T20:19:53Z,4
너무 좋아서 하루종일 반복재생 하면서 듣는중 ㅠㅠ,은섬,2022-07-18T13:50:31Z,6
의상 개이뻐.. 르릇당 춤 너무 ㄱㅇㅇ ㅠㅠ,시계탑의프리데,2022-07-18T02:26:37Z,3
이건 진짜 언제 들어도 개사가 미친거같다 천재가 분명함,갸갸갹,2022-07-17T23:52:43Z,6
이것도 백만얼마안남았네 ㅋㅋㅋㅋㅋㅋ처음에 이게 뭔노랜가했었는데 ㅋㅋㅋㅋㅋㅋ,보들,2022-07-15T04:58:02Z,3
